cycle,event,a,b,c,d,e
22,imm,1,2,0,1240,0
22,decode,19,0,0,27,0
23,operand,19,0,24,1,19
23,value,0,0,0,0,0
23,imm,1,2,0,1784,0
23,decode,19,0,0,59,0
24,operand,20,0,8,1,19
24,value,0,364,0,0,0
24,imm,1,2,0,872,0
24,decode,19,0,0,17,0
25,operand,21,0,10,1,19
25,value,0,487,0,0,0
25,imm,1,2,0,1898,0
25,decode,19,0,0,29,0
26,operand,22,0,31,1,19
26,value,0,320,0,0,0
26,imm,1,2,0,575,0
26,decode,19,0,0,61,0
27,operand,23,0,3,1,19
27,value,0,0,0,0,0
27,imm,1,2,0,931,0
27,decode,19,0,0,56,0
28,operand,24,0,21,1,19
28,value,0,1898,0,0,0
28,imm,1,2,0,1973,0
28,decode,19,0,0,30,0
29,operand,25,0,19,1,19
29,value,0,1784,0,0,0
29,imm,1,2,0,1811,0
29,decode,19,0,0,40,0
30,operand,26,0,12,1,19
30,value,0,862,0,0,0
30,imm,1,2,0,972,0
30,decode,19,0,0,54,0
31,operand,27,0,3,1,19
31,value,0,0,0,0,0
31,imm,1,2,0,1283,0
31,decode,19,0,0,34,0
32,operand,28,0,0,1,19
32,value,0,0,0,0,0
32,imm,1,2,0,1728,0
32,decode,19,1,0,0,0
33,operand,29,0,23,1,19
33,value,0,931,0,0,0
33,imm,1,2,0,1111,0
33,decode,19,1,0,0,0
34,operand,8,0,1,1,19
34,value,0,0,0,0,0
34,imm,1,2,0,1,0
34,decode,51,1,0,0,0
35,operand,8,8,2,1,19
35,value,1,16384,0,0,0
35,imm,1,2,0,2,0
35,decode,19,0,1,0,1
36,operand,9,0,8,1,51
36,value,0,3,0,0,0
36,decode,51,0,4,1,4
36,hazard,muldiv_busy,0,0,0,0
37,operand,26,8,4,1,19
37,value,3,0,0,0,0
37,imm,1,2,0,4,0
37,decode,51,0,4,1,4
37,hazard,muldiv_busy,0,0,0,0
38,decode,51,0,4,1,4
38,hazard,muldiv_busy,0,0,0,0
39,decode,51,0,4,1,4
39,hazard,muldiv_busy,0,0,0,0
40,decode,51,0,4,1,4
40,hazard,muldiv_busy,0,0,0,0
41,decode,51,0,4,1,4
41,hazard,muldiv_busy,0,0,0,0
42,decode,51,0,4,1,4
42,hazard,muldiv_busy,0,0,0,0
43,decode,51,0,4,1,4
43,hazard,muldiv_busy,0,0,0,0
44,decode,51,0,4,1,4
44,hazard,muldiv_busy,0,0,0,0
45,decode,51,0,4,1,4
45,hazard,muldiv_busy,0,0,0,0
46,decode,51,0,4,1,4
46,hazard,muldiv_busy,0,0,0,0
47,decode,51,0,4,1,4
47,hazard,muldiv_busy,0,0,0,0
48,decode,51,0,4,1,4
48,hazard,muldiv_busy,0,0,0,0
49,decode,51,0,4,1,4
49,hazard,muldiv_busy,0,0,0,0
50,decode,51,0,4,1,4
50,hazard,muldiv_busy,0,0,0,0
51,decode,51,0,4,1,4
51,hazard,muldiv_busy,0,0,0,0
52,decode,51,0,4,1,4
52,hazard,muldiv_busy,0,0,0,0
53,decode,51,0,4,1,4
53,hazard,muldiv_busy,0,0,0,0
54,decode,51,0,4,1,4
54,hazard,muldiv_busy,0,0,0,0
55,decode,51,0,4,1,4
55,hazard,muldiv_busy,0,0,0,0
56,decode,51,0,4,1,4
56,hazard,muldiv_busy,0,0,0,0
57,decode,51,0,4,1,4
57,hazard,muldiv_busy,0,0,0,0
58,decode,51,0,4,1,4
58,hazard,muldiv_busy,0,0,0,0
59,decode,51,0,4,1,4
59,hazard,muldiv_busy,0,0,0,0
60,decode,51,0,4,1,4
60,hazard,muldiv_busy,0,0,0,0
61,decode,51,0,4,1,4
61,hazard,muldiv_busy,0,0,0,0
62,decode,51,0,4,1,4
62,hazard,muldiv_busy,0,0,0,0
63,decode,51,0,4,1,4
63,hazard,muldiv_busy,0,0,0,0
64,decode,51,0,4,1,4
64,hazard,muldiv_busy,0,0,0,0
65,decode,51,0,4,1,4
65,hazard,muldiv_busy,0,0,0,0
66,decode,51,0,4,1,4
66,hazard,muldiv_busy,0,0,0,0
67,decode,51,0,4,1,4
67,hazard,muldiv_busy,0,0,0,0
68,decode,51,0,4,1,4
68,hazard,muldiv_busy,0,0,0,0
69,decode,51,0,4,1,4
69,hazard,muldiv_busy,0,0,0,0
70,decode,51,0,4,1,4
70,hazard,muldiv_busy,0,0,0,0
71,decode,51,0,4,1,4
71,hazard,muldiv_busy,0,0,0,0
72,decode,51,0,4,1,4
73,decode,19,0,5,0,5
74,operand,16,12,30,1,51
74,value,862,7,0,0,0
74,decode,51,0,2,0,2
75,operand,8,14,8,1,19
75,value,602,3,0,0,0
75,imm,1,2,0,8,0
75,decode,51,0,0,0,0
76,operand,5,13,28,1,51
76,value,823,1728,0,0,0
76,decode,35,0,1,0,1
77,operand,17,10,25,1,51
77,value,487,1811,0,0,0
77,decode,51,0,5,0,5
77,ls,0,1,1,2,0
78,operand,2,31,13,3,35
78,value,320,823,0,0,0
78,imm,2,2,0,2,0
78,decode,19,0,2,33,2
79,operand,18,23,6,1,51
79,value,931,1765,0,0,0
79,decode,19,0,4,113,4
80,operand,6,16,2,1,19
80,value,123,16384,0,0,0
80,imm,1,2,0,1058,0
80,decode,3,0,0,0,0
81,operand,18,24,5,1,19
81,value,1973,1,0,0,0
81,imm,1,3,0,4294966821,0
81,decode,51,0,3,0,3
81,ls,1,0,0,1,0
82,operand,13,31,9,2,3
82,value,320,3,0,0,0
82,imm,1,2,0,9,0
82,decode,3,0,0,0,0
83,operand,14,18,23,1,51
83,value,4294965648,931,0,0,0
83,decode,3,0,4,0,4
83,ls,1,0,0,2,0
84,operand,6,31,10,2,3
84,value,320,487,0,0,0
84,imm,1,2,0,10,0
84,decode,35,0,1,0,1
84,ls,1,0,4,1,0
85,operand,8,31,5,2,3
85,value,320,1,0,0,0
85,imm,1,2,0,5,0
85,decode,35,0,2,1,2
85,ls,0,1,1,2,0
86,operand,30,31,22,3,35
86,value,320,575,0,0,0
86,imm,2,2,0,30,0
86,decode,3,0,2,0,2
86,ls,0,1,2,0,0
87,operand,8,31,7,3,35
87,value,320,313,0,0,0
87,imm,2,2,0,40,0
87,decode,3,0,1,0,1
87,ls,1,0,2,0,0
88,operand,24,31,8,2,3
88,value,320,29,0,0,0
88,imm,1,2,0,8,0
88,decode,35,0,0,0,0
88,ls,1,0,1,0,0
89,operand,19,31,4,2,3
89,value,320,0,0,0,0
89,imm,1,2,0,4,0
89,decode,51,0,5,32,5
89,ls,0,1,0,2,0
90,operand,2,31,10,3,35
90,value,320,487,0,0,0
90,imm,2,2,0,2,0
90,decode,51,0,5,0,5
91,operand,21,6,25,1,51
91,value,4294967173,1811,0,0,0
91,decode,19,0,5,32,5
92,operand,18,12,15,1,51
92,value,862,1471,0,0,0
92,decode,51,0,0,0,0
93,operand,24,10,22,1,19
93,value,487,575,0,0,0
93,imm,1,2,0,1046,0
93,decode,51,0,0,0,0
94,operand,6,20,29,1,51
94,value,872,1111,0,0,0
94,decode,51,0,1,1,1
94,hazard,muldiv_busy,0,0,0,0
95,operand,15,25,9,1,51
95,value,1811,3,0,0,0
95,decode,51,0,1,1,1
95,hazard,muldiv_busy,0,0,0,0
96,decode,51,0,1,1,1
96,hazard,muldiv_busy,0,0,0,0
97,decode,51,0,1,1,1
97,hazard,muldiv_busy,0,0,0,0
98,decode,51,0,1,1,1
99,decode,19,0,7,69,7
100,operand,6,28,9,1,51
100,value,1728,3,0,0,0
100,decode,19,0,5,32,5
101,operand,7,11,27,1,19
101,value,72,1283,0,0,0
101,imm,1,3,0,4294965435,0
101,decode,19,0,0,53,0
102,operand,8,5,15,1,19
102,value,1,1814,0,0,0
102,imm,1,2,0,1039,0
102,decode,51,0,4,1,4
102,hazard,muldiv_busy,0,0,0,0
103,operand,17,11,30,1,19
103,value,72,7,0,0,0
103,imm,1,2,0,1726,0
103,decode,51,0,4,1,4
103,hazard,muldiv_busy,0,0,0,0
104,decode,51,0,4,1,4
104,hazard,muldiv_busy,0,0,0,0
105,decode,51,0,4,1,4
105,hazard,muldiv_busy,0,0,0,0
106,decode,51,0,4,1,4
106,hazard,muldiv_busy,0,0,0,0
107,decode,51,0,4,1,4
107,hazard,muldiv_busy,0,0,0,0
108,decode,51,0,4,1,4
108,hazard,muldiv_busy,0,0,0,0
109,decode,51,0,4,1,4
109,hazard,muldiv_busy,0,0,0,0
110,decode,51,0,4,1,4
110,hazard,muldiv_busy,0,0,0,0
111,decode,51,0,4,1,4
111,hazard,muldiv_busy,0,0,0,0
112,decode,51,0,4,1,4
112,hazard,muldiv_busy,0,0,0,0
113,decode,51,0,4,1,4
113,hazard,muldiv_busy,0,0,0,0
114,decode,51,0,4,1,4
114,hazard,muldiv_busy,0,0,0,0
115,decode,51,0,4,1,4
115,hazard,muldiv_busy,0,0,0,0
116,decode,51,0,4,1,4
116,hazard,muldiv_busy,0,0,0,0
117,decode,51,0,4,1,4
117,hazard,muldiv_busy,0,0,0,0
118,decode,51,0,4,1,4
118,hazard,muldiv_busy,0,0,0,0
119,decode,51,0,4,1,4
119,hazard,muldiv_busy,0,0,0,0
120,decode,51,0,4,1,4
120,hazard,muldiv_busy,0,0,0,0
121,decode,51,0,4,1,4
121,hazard,muldiv_busy,0,0,0,0
122,decode,51,0,4,1,4
122,hazard,muldiv_busy,0,0,0,0
123,decode,51,0,4,1,4
123,hazard,muldiv_busy,0,0,0,0
124,decode,51,0,4,1,4
124,hazard,muldiv_busy,0,0,0,0
125,decode,51,0,4,1,4
125,hazard,muldiv_busy,0,0,0,0
126,decode,51,0,4,1,4
126,hazard,muldiv_busy,0,0,0,0
127,decode,51,0,4,1,4
127,hazard,muldiv_busy,0,0,0,0
128,decode,51,0,4,1,4
128,hazard,muldiv_busy,0,0,0,0
129,decode,51,0,4,1,4
129,hazard,muldiv_busy,0,0,0,0
130,decode,51,0,4,1,4
130,hazard,muldiv_busy,0,0,0,0
131,decode,51,0,4,1,4
131,hazard,muldiv_busy,0,0,0,0
132,decode,51,0,4,1,4
132,hazard,muldiv_busy,0,0,0,0
133,decode,51,0,4,1,4
133,hazard,muldiv_busy,0,0,0,0
134,decode,51,0,4,1,4
134,hazard,muldiv_busy,0,0,0,0
135,decode,51,0,4,1,4
135,hazard,muldiv_busy,0,0,0,0
136,decode,51,0,4,1,4
136,hazard,muldiv_busy,0,0,0,0
137,decode,51,0,4,1,4
137,hazard,muldiv_busy,0,0,0,0
138,decode,51,0,4,1,4
139,decode,51,0,5,0,5
140,operand,27,6,30,1,51
140,value,0,7,0,0,0
140,decode,19,0,1,0,1
141,operand,8,20,21,1,51
141,value,872,4294967295,0,0,0
141,decode,51,0,5,32,5
142,operand,25,11,12,1,19
142,value,72,862,0,0,0
142,imm,1,2,0,12,0
142,decode,51,0,3,0,3
143,operand,26,29,14,1,51
143,value,1111,0,0,0,0
143,decode,51,0,5,32,5
144,operand,11,21,15,1,51
144,value,4294967295,1814,0,0,0
144,decode,19,0,7,49,7
145,operand,25,9,26,1,51
145,value,3,1111,0,0,0
145,decode,51,0,6,0,6
146,operand,16,23,4,1,19
146,value,931,0,0,0,0
146,imm,1,2,0,1572,0
146,decode,19,0,5,0,5
147,operand,19,22,15,1,51
147,value,575,1814,0,0,0
147,decode,51,0,3,1,3
147,hazard,muldiv_busy,0,0,0,0
148,operand,27,24,21,1,19
148,value,0,4294967295,0,0,0
148,imm,1,2,0,21,0
148,decode,51,0,3,1,3
148,hazard,muldiv_busy,0,0,0,0
149,decode,51,0,3,1,3
149,hazard,muldiv_busy,0,0,0,0
150,decode,51,0,3,1,3
150,hazard,muldiv_busy,0,0,0,0
151,decode,51,0,3,1,3
152,decode,35,0,2,1,2
153,operand,16,15,21,1,51
153,value,1814,4294967295,0,0,0
153,decode,35,0,1,0,1
153,ls,0,1,2,0,0
154,operand,28,31,6,3,35
154,value,320,0,0,0,0
154,imm,2,2,0,60,0
154,decode,51,0,0,1,0
154,ls,0,1,1,0,0
154,hazard,muldiv_busy,0,0,0,0
155,operand,4,31,13,3,35
155,value,320,4294967168,0,0,0
155,imm,2,2,0,4,0
155,decode,51,0,0,1,0
155,hazard,muldiv_busy,0,0,0,0
156,decode,51,0,0,1,0
156,hazard,muldiv_busy,0,0,0,0
157,decode,51,0,0,1,0
157,hazard,muldiv_busy,0,0,0,0
158,decode,51,0,0,1,0
159,decode,19,0,3,103,3
160,operand,29,6,18,1,51
160,value,0,0,0,0,0
160,decode,19,0,5,0,5
161,operand,22,13,19,1,19
161,value,4294967168,1855,0,0,0
161,imm,1,3,0,4294966515,0
161,decode,51,0,1,0,1
162,operand,10,23,1,1,19
162,value,931,0,0,0,0
162,imm,1,2,0,1,0
162,decode,51,0,5,0,5
163,operand,15,6,28,1,51
163,value,0,1728,0,0,0
163,decode,51,0,0,32,0
164,operand,9,12,28,1,51
164,value,862,1728,0,0,0
164,decode,51,0,5,32,5
165,operand,13,24,7,1,51
165,value,0,8,0,0,0
165,decode,19,0,5,32,5
166,operand,5,24,27,1,51
166,value,0,0,0,0,0
166,decode,19,0,6,41,6
167,operand,7,23,7,1,19
167,value,931,8,0,0,0
167,imm,1,2,0,1031,0
167,decode,115,1,0,0,0
168,operand,22,13,18,1,19
168,value,4294967288,0,0,0,0
168,imm,1,2,0,1330,0
168,decode,19,1,0,0,0
169,decode,0,1,0,0,0
169,redirect,1,0,0,0,0
169,trap,2,0,0,0,0
