cycle,event,a,b,c,d,e
29,hazard,muldiv_busy,0,0,0,0
30,decode,51,0,4,1,4
30,hazard,muldiv_busy,0,0,0,0
31,decode,51,0,4,1,4
31,hazard,muldiv_busy,0,0,0,0
32,decode,51,0,4,1,4
32,hazard,muldiv_busy,0,0,0,0
33,decode,51,0,4,1,4
33,hazard,muldiv_busy,0,0,0,0
34,decode,51,0,4,1,4
34,hazard,muldiv_busy,0,0,0,0
35,decode,51,0,4,1,4
35,hazard,muldiv_busy,0,0,0,0
36,decode,51,0,4,1,4
36,hazard,muldiv_busy,0,0,0,0
37,decode,51,0,4,1,4
37,hazard,muldiv_busy,0,0,0,0
38,decode,51,0,4,1,4
38,hazard,muldiv_busy,0,0,0,0
39,decode,51,0,4,1,4
39,hazard,muldiv_busy,0,0,0,0
40,decode,51,0,4,1,4
40,hazard,muldiv_busy,0,0,0,0
41,decode,51,0,4,1,4
41,hazard,muldiv_busy,0,0,0,0
42,decode,51,0,4,1,4
42,hazard,muldiv_busy,0,0,0,0
43,decode,51,0,4,1,4
43,hazard,muldiv_busy,0,0,0,0
44,decode,51,0,4,1,4
44,hazard,muldiv_busy,0,0,0,0
45,decode,51,0,4,1,4
45,hazard,muldiv_busy,0,0,0,0
46,decode,51,0,4,1,4
46,hazard,muldiv_busy,0,0,0,0
47,decode,51,0,4,1,4
47,hazard,muldiv_busy,0,0,0,0
48,decode,51,0,4,1,4
48,hazard,muldiv_busy,0,0,0,0
49,decode,51,0,4,1,4
49,hazard,muldiv_busy,0,0,0,0
50,decode,51,0,4,1,4
50,hazard,muldiv_busy,0,0,0,0
51,decode,51,0,4,1,4
51,hazard,muldiv_busy,0,0,0,0
52,decode,51,0,4,1,4
53,decode,51,0,5,1,5
53,hazard,muldiv_busy,0,0,0,0
54,operand,14,10,11,1,51
54,value,33,7,0,0,0
54,decode,51,0,5,1,5
54,hazard,muldiv_busy,0,0,0,0
55,decode,51,0,5,1,5
55,hazard,muldiv_busy,0,0,0,0
56,decode,51,0,5,1,5
56,hazard,muldiv_busy,0,0,0,0
57,decode,51,0,5,1,5
57,hazard,muldiv_busy,0,0,0,0
58,decode,51,0,5,1,5
58,hazard,muldiv_busy,0,0,0,0
59,decode,51,0,5,1,5
59,hazard,muldiv_busy,0,0,0,0
60,decode,51,0,5,1,5
60,hazard,muldiv_busy,0,0,0,0
61,decode,51,0,5,1,5
61,hazard,muldiv_busy,0,0,0,0
62,decode,51,0,5,1,5
62,hazard,muldiv_busy,0,0,0,0
63,decode,51,0,5,1,5
63,hazard,muldiv_busy,0,0,0,0
64,decode,51,0,5,1,5
64,hazard,muldiv_busy,0,0,0,0
65,decode,51,0,5,1,5
65,hazard,muldiv_busy,0,0,0,0
66,decode,51,0,5,1,5
66,hazard,muldiv_busy,0,0,0,0
67,decode,51,0,5,1,5
67,hazard,muldiv_busy,0,0,0,0
68,decode,51,0,5,1,5
68,hazard,muldiv_busy,0,0,0,0
69,decode,51,0,5,1,5
69,hazard,muldiv_busy,0,0,0,0
70,decode,51,0,5,1,5
70,hazard,muldiv_busy,0,0,0,0
71,decode,51,0,5,1,5
71,hazard,muldiv_busy,0,0,0,0
72,decode,51,0,5,1,5
72,hazard,muldiv_busy,0,0,0,0
73,decode,51,0,5,1,5
73,hazard,muldiv_busy,0,0,0,0
74,decode,51,0,5,1,5
74,hazard,muldiv_busy,0,0,0,0
75,decode,51,0,5,1,5
75,hazard,muldiv_busy,0,0,0,0
76,decode,51,0,5,1,5
76,hazard,muldiv_busy,0,0,0,0
77,decode,51,0,5,1,5
77,hazard,muldiv_busy,0,0,0,0
78,decode,51,0,5,1,5
78,hazard,muldiv_busy,0,0,0,0
79,decode,51,0,5,1,5
79,hazard,muldiv_busy,0,0,0,0
80,decode,51,0,5,1,5
80,hazard,muldiv_busy,0,0,0,0
81,decode,51,0,5,1,5
81,hazard,muldiv_busy,0,0,0,0
82,decode,51,0,5,1,5
82,hazard,muldiv_busy,0,0,0,0
83,decode,51,0,5,1,5
83,hazard,muldiv_busy,0,0,0,0
84,decode,51,0,5,1,5
84,hazard,muldiv_busy,0,0,0,0
85,decode,51,0,5,1,5
85,hazard,muldiv_busy,0,0,0,0
86,decode,51,0,5,1,5
86,hazard,muldiv_busy,0,0,0,0
87,decode,51,0,5,1,5
87,hazard,muldiv_busy,0,0,0,0
88,decode,51,0,5,1,5
88,hazard,muldiv_busy,0,0,0,0
89,decode,51,0,5,1,5
90,decode,51,0,0,0,0
91,operand,15,14,11,1,51
91,value,4,7,0,0,0
91,decode,115,0,0,0,0
92,operand,16,13,15,1,51
92,value,1617,0,0,0,0
92,decode,x,x,x,x,x
93,decode,x,x,x,x,x
93,redirect,1,0,0,0,0
93,trap,2,0,0,0,0
